"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\TopSenderCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 7, 45
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\TopTemplatesCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 3, 6, 68
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\invoices\InvoiceTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 5, 10, 107
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\invoices\Invoices.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 85, 33, 189
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\invoices\SendInvoices.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 33, 25, 132
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\invoices\SendInvoicesComponents\CustomerSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\invoices\SendInvoicesComponents\TemplateSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\invoices\SendInvoicesComponents\WhatsAppPreview.jsx.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 13, 15, 162
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\layout\MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 1, 3, 20
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\layout\SideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 4, 10, 90
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\messageAnalytics\MessageAnalytics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 98, 21, 193
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\ProfileSetting.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 1, 12, 83
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\components\SettingsHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\components\StatsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 33
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\components\SwitchToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 4, 48
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\settings\components\TabButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
