"filename", "language", "JSON", "JavaScript", "Markdown", "MS SQL", "Log", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\userRoute.js", "JavaScript", 0, 29, 0, 0, 0, 4, 8, 41
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\webhookRoute.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\schema\create-tables.sql", "MS SQL", 0, 0, 0, 65, 0, 6, 8, 79
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\schema\seedAdmin.js", "JavaScript", 0, 88, 0, 0, 0, 5, 14, 107
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\schema\seedInvoice.js", "JavaScript", 0, 64, 0, 0, 0, 3, 7, 74
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\server.js", "JavaScript", 0, 5, 0, 0, 0, 4, 3, 12
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\services\whatsappService.js", "JavaScript", 0, 187, 0, 0, 0, 18, 34, 239
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\forgotPasswordTemplate.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\generatedAccessToken.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\generatedOtp.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\generatedRefreshToken.js", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\toCamelCase.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\uploadImageClodinary.js", "JavaScript", 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\verifyEmailTemplate.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"Total", "-", 2097, 1706, 29, 65, 1, 123, 386, 4407
